id,stim_order,cond,chosen,rt,reward,group
101,1,3,1,1000,1,3
101,1,3,0,1000,0,3
101,1,3,1,1000,1,3
101,1,3,0,1000,0,3
101,1,3,1,1000,0,3
101,1,3,0,1000,0,3
101,1,3,1,1000,1,3
101,1,3,0,1000,0,3
101,1,3,1,1000,1,3
101,1,3,0,1000,0,3
101,1,3,1,1000,1,3
101,1,3,0,1000,0,3
101,1,3,1,1000,1,3
101,1,3,0,1000,0,3
101,1,3,1,1000,1,3
101,1,3,0,1000,0,3
101,1,2,1,1000,1,3
101,1,2,0,1000,0,3
101,1,2,1,1000,1,3
101,1,2,0,1000,1,3
101,1,2,1,1000,1,3
101,1,2,0,1000,0,3
101,1,2,1,1000,1,3
101,1,2,0,1000,0,3
101,1,2,1,1000,1,3
101,1,2,0,1000,0,3
101,1,2,1,1000,1,3
101,1,2,0,1000,0,3
101,1,2,1,1000,1,3
101,1,2,0,1000,0,3
101,1,2,1,1000,1,3
101,1,2,0,1000,1,3
101,1,1,1,1000,1,3
101,1,1,0,1000,0,3
101,1,1,1,1000,1,3
101,1,1,0,1000,0,3
101,1,1,1,1000,1,3
101,1,1,0,1000,0,3
101,1,1,1,1000,0,3
101,1,1,0,1000,0,3
101,1,1,1,1000,1,3
101,1,1,0,1000,0,3
101,1,1,1,1000,1,3
101,1,1,0,1000,0,3
101,1,1,1,1000,1,3
101,1,1,0,1000,0,3
101,1,1,1,1000,0,3
101,1,1,0,1000,0,3
101,2,3,1,1000,1,3
101,2,3,0,1000,0,3
101,2,3,1,1000,1,3
101,2,3,0,1000,0,3
101,2,3,1,1000,0,3
101,2,3,0,1000,0,3
101,2,3,1,1000,1,3
101,2,3,0,1000,0,3
101,2,3,1,1000,1,3
101,2,3,0,1000,0,3
101,2,3,1,1000,1,3
101,2,3,0,1000,0,3
101,2,3,1,1000,1,3
101,2,3,0,1000,0,3
101,2,3,1,1000,1,3
101,2,3,0,1000,0,3
101,2,1,1,1000,1,3
101,2,1,0,1000,0,3
101,2,1,1,1000,1,3
101,2,1,0,1000,1,3
101,2,1,1,1000,1,3
101,2,1,0,1000,0,3
101,2,1,1,1000,1,3
101,2,1,0,1000,0,3
101,2,1,1,1000,1,3
101,2,1,0,1000,0,3
101,2,1,1,1000,1,3
101,2,1,0,1000,0,3
101,2,1,1,1000,1,3
101,2,1,0,1000,0,3
101,2,1,1,1000,1,3
101,2,1,0,1000,1,3
101,3,3,1,1000,1,3
101,3,3,0,1000,0,3
101,3,3,1,1000,1,3
101,3,3,0,1000,0,3
101,3,3,1,1000,1,3
101,3,3,0,1000,0,3
101,3,3,1,1000,0,3
101,3,3,0,1000,0,3
101,3,3,1,1000,1,3
101,3,3,0,1000,0,3
101,3,3,1,1000,1,3
101,3,3,0,1000,0,3
101,3,3,1,1000,1,3
101,3,3,0,1000,0,3
101,3,3,1,1000,0,3
101,3,3,0,1000,0,3
101,2,2,1,1000,1,3
101,2,2,0,1000,0,3
101,2,2,1,1000,1,3
101,2,2,0,1000,0,3
101,2,2,1,1000,0,3
101,2,2,0,1000,0,3
101,2,2,1,1000,1,3
101,2,2,0,1000,0,3
101,2,2,1,1000,1,3
101,2,2,0,1000,0,3
101,2,2,1,1000,1,3
101,2,2,0,1000,0,3
101,2,2,1,1000,1,3
101,2,2,0,1000,0,3
101,2,2,1,1000,1,3
101,2,2,0,1000,0,3
101,3,1,1,1000,1,3
101,3,1,0,1000,0,3
101,3,1,1,1000,1,3
101,3,1,0,1000,1,3
101,3,1,1,1000,1,3
101,3,1,0,1000,0,3
101,3,1,1,1000,1,3
101,3,1,0,1000,0,3
101,3,1,1,1000,1,3
101,3,1,0,1000,0,3
101,3,1,1,1000,1,3
101,3,1,0,1000,0,3
101,3,1,1,1000,1,3
101,3,1,0,1000,0,3
101,3,1,1,1000,1,3
101,3,1,0,1000,1,3
101,3,2,1,1000,1,3
101,3,2,0,1000,0,3
101,3,2,1,1000,1,3
101,3,2,0,1000,0,3
101,3,2,1,1000,1,3
101,3,2,0,1000,0,3
101,3,2,1,1000,0,3
101,3,2,0,1000,0,3
101,3,2,1,1000,1,3
101,3,2,0,1000,0,3
101,3,2,1,1000,1,3
101,3,2,0,1000,0,3
101,3,2,1,1000,1,3
101,3,2,0,1000,0,3
101,3,2,1,1000,0,3
101,3,2,0,1000,0,3
